Branch Name,Types,Business Status,City,Province,Region,Address,Latitude,Longitude,Rating,User Ratings Count,Place ID,Google Maps Link
BDO EDSA - Reliance St. Branch,Bank,OPERATIONAL,Mandaluyong City,NCR,NCR,"G/F, Paragon Plaza, cor Reliance, Mandaluyong City, 1550 Kalakhang Maynila, Philippines",14.5764418,121.0505629,3.2,6,ChIJwfBUykbIlzMRTpL__7UT-fA,https://www.google.com/maps/place/?q=place_id:ChIJwfBUykbIlzMRTpL__7UT-fA
BDO Boni - Maysilo Branch,ATM,OPERATIONAL,Mandaluyong City,NCR,NCR,"74 Maysilo Circle, corner Boni Ave, Mandaluyong City, 1550 Metro Manila, Philippines",14.5771582,121.032769,3.2,13,ChIJhUlUVUnIlzMR0a-vwjxYiW8,https://www.google.com/maps/place/?q=place_id:ChIJhUlUVUnIlzMR0a-vwjxYiW8
BDO Shaw Blvd. - Beacon Plaza Branch,Bank,OPERATIONAL,Mandaluyong City,NCR,NCR,"UG 105-UG 106 Beacon Plaza, Shaw Blvd, corner Ideal, Mandaluyong City, Metro Manila, Philippines",14.5887145,121.0434735,2.7,7,ChIJ6cTUXzDIlzMRt6zY_-FY9z0,https://www.google.com/maps/place/?q=place_id:ChIJ6cTUXzDIlzMRt6zY_-FY9z0
BDO Shaw Blvd. - Wack - Wack Branch,Bank,OPERATIONAL,Mandaluyong City,NCR,NCR,"Unit A, Brgy, BCC Showroom, 545 Shaw Blvd, Mandaluyong City, 1555 Metro Manila, Philippines",14.5863061,121.0477647,2.6,10,ChIJ3TS9NDrIlzMRa3iakxJimH4,https://www.google.com/maps/place/?q=place_id:ChIJ3TS9NDrIlzMRa3iakxJimH4
BDO Unibank,Bank,OPERATIONAL,Pasig,NCR,NCR,"12, Benguet Centre, ADB Ave, Ortigas Center, Mandaluyong City, 1552 Metro Manila, Philippines",14.5862001,121.0596769,2.4,26,ChIJW_zL9BbIlzMRxQX2wPx2iiI,https://www.google.com/maps/place/?q=place_id:ChIJW_zL9BbIlzMRxQX2wPx2iiI
BDO Reliance,Bank,OPERATIONAL,Mandaluyong City,NCR,NCR,"G/F, Units 3 & 4 Launch Pad Bldg Reliance corner Sheridan Sts Brgy, Mandaluyong City, Philippines",14.5738972,121.0540023,3.7,3,ChIJrYJYKULIlzMR347iYEy2fCM,https://www.google.com/maps/place/?q=place_id:ChIJrYJYKULIlzMR347iYEy2fCM
BDO Shaw Blvd. - Stanford Branch,Bank,OPERATIONAL,Mandaluyong City,NCR,NCR,"EBC Bldg., Shaw Blvd, corner Stanford, Mandaluyong City, Metro Manila, Philippines",14.5846711,121.0499915,5,67,ChIJ8QeT4ujJlzMRL84Gp3xwFSo,https://www.google.com/maps/place/?q=place_id:ChIJ8QeT4ujJlzMRL84Gp3xwFSo
BDO Mandaluyong - Light Mall Branch,Bank,OPERATIONAL,Mandaluyong City,NCR,NCR,"G/F Light Mall, Light Residences EDSA corner Madison St Brgy, Mandaluyong City, Philippines",14.5736265,121.0485166,3,27,ChIJiTRtT0TIlzMRSe1Y7s5UDNs,https://www.google.com/maps/place/?q=place_id:ChIJiTRtT0TIlzMRSe1Y7s5UDNs
BDO Edsa - Boni Avenue,Bank,OPERATIONAL,Mandaluyong City,NCR,NCR,"LG/F, Brgy, Phinma Properties Center, 29 Epifanio de los Santos Ave, Mandaluyong City, 1550 Metro Manila, Philippines",14.5705355,121.0462346,3.5,2,ChIJSVJeO1_JlzMRG4ULG6-1h6s,https://www.google.com/maps/place/?q=place_id:ChIJSVJeO1_JlzMRG4ULG6-1h6s
BDO Kalentong Branch,Bank,OPERATIONAL,Mandaluyong City,NCR,NCR,"MRDC Bldg. Shaw Blvd, corner General Kalentong, Mandaluyong City, 1550 Metro Manila, Philippines",14.5938971,121.0268539,3.3,23,ChIJYUKX5NHJlzMRF2OSppnhYtQ,https://www.google.com/maps/place/?q=place_id:ChIJYUKX5NHJlzMRF2OSppnhYtQ
